904876,IMPORTED VODKA,Stawski Potato Vodka,465,Stanley Stawski Distributing Co.,750,12,1,,80,8/18/2010 0:00,,904876,$13.83 ,20.75,166
904877,IMPORTED VODKA,Three Olives Tomato Vodka,395,Proximo,750,12,1,,70,8/25/2010 0:00,,,$11.14 ,16.71,133.62
904878,SINGLE MALT SCOTCH,Strathisla 25yr,127,Classic Wine Imports,750,1,1,,86,7/22/2010 0:00,,,$89.87 ,134.81,89.87
904879,SINGLE MALT SCOTCH,Millburn 1976 27yr Scotch,127,Classic Wine Imports,750,1,1,,92,7/22/2010 0:00,,,$86.53 ,129.8,86.53
904880,IMPORTED VODKA,Pinnacle Cotton Candy(do Not Order),298,White Rock Distilleries Inc.,750,12,1,,70,7/12/2010 0:00,,,$7.38 ,11.07,88.55
904881,SINGLE MALT SCOTCH,Scapa 1993 15yr Scotch,127,Classic Wine Imports,750,1,1,,86,7/22/2010 0:00,,,$48.20 ,72.3,48.2
904882,SINGLE MALT SCOTCH,Dallas Dhu 26yr Scotch,127,Classic Wine Imports,750,1,1,,80,7/22/2010 0:00,,,$86.53 ,129.8,86.53
904883,100 PROOF VODKA,Devotion Vodka,129,Devotion Spirits Inc.,750,6,1,,80,9/1/2010 0:00,,,$14.12 ,21.18,84.7
904884,PEPPERMINT SCHNAPPS,Ice Hole Exotic Schnapps,380,Phillips Beverage Company,1000,12,1,,34,9/13/2010 0:00,,1.00871E+13,$6.75 ,10.13,81
904885,MISC. AMERICAN CORDIALS & LIQUEURS,Shakka Apple Liqueur - DNO,305,Mhw Ltd,750,12,1,,30,8/27/2010 0:00,,,$5.00 ,7.5,60
904886,SINGLE MALT SCOTCH,Benriach Single Malt 12yr,391,Anchor Distilling (preiss Imports),750,1,1,,92,8/27/2010 0:00,,,$30.92 ,46.38,30.92
904887,FLAVORED RUM,Don Q Mojito Rum,451,Serralles Usa,1000,12,1,,40,8/27/2010 0:00,82301100801,,$9.50 ,14.24,113.94
904888,AMERICAN GRAPE BRANDIES,Christian Brothers Frost Brandy,259,Heaven Hill Distilleries Inc.,1750,6,1,,70,5/15/2009 0:00,,1.0086E+13,$12.59 ,18.89,75.51
904889,SINGLE MALT SCOTCH,Ardmore Scotch,65,Jim Beam Brands,750,6,1,,92,9/13/2010 0:00,,1.00807E+13,$24.60 ,36.9,147.6
904890,IMPORTED VODKA,Grey Goose Le Citron,35,Bacardi U.s.a. Inc.,750,6,1,,80,5/15/2009 0:00,80480282042,2.00805E+13,$18.49 ,27.74,110.94
904891,CANADIAN WHISKIES,Canadian Ltd Mini,55,Sazerac North America,502,12,1,,80,7/20/2010 0:00,,,$5.73 ,8.6,68.7
904892,SINGLE MALT SCOTCH,Benromach 21yr Scotch,127,Classic Wine Imports,750,1,1,,86,7/23/2010 0:00,,,$73.20 ,109.8,73.2
904893,SINGLE MALT SCOTCH,Benromach Peat Smoke,127,Classic Wine Imports,750,1,1,,92,7/23/2010 0:00,,,$41.53 ,62.3,41.53
904894,80 PROOF VODKA,Prairie Organic Kosher Vodka - DNO,380,Phillips Beverage Company,750,6,1,,80,9/13/2010 0:00,,,$13.38 ,20.07,80.3
904895,BARBADOS RUM,Mt Gay Silver Rum,389,Remy Cointreau Usa         .,750,12,1,,80,9/14/2010 0:00,,1.00872E+13,$9.99 ,14.99,119.9
904896,TEQUILA,Azunia Platinum(white),278,Intersect Beverage Llc,1000,6,1,,80,9/15/2010 0:00,,1.08972E+13,$29.52 ,44.28,177.1
904897,SCOTCH WHISKIES,Glenrothes 94,391,Anchor Distilling (preiss Imports),750,6,1,,86,9/16/2010 0:00,,1.07211E+13,$37.70 ,56.55,226.2
904898,AMERICAN ALCOHOL,Everclear 151,434,Luxco-st Louis,1750,6,1,,151,9/16/2010 0:00,,1.00884E+13,$18.67 ,28.01,112
904899,CREAM LIQUEURS,O'dowd's,61,Biagio Cru And Estate Wines Llc,750,12,1,,34,9/1/2010 0:00,7.3604E+11,1.0736E+13,$5.40 ,8.1,64.84
904900,IMPORTED GRAPE BRANDIES,Conjure Cognac,305,Mhw Ltd,750,6,1,,80,9/21/2010 0:00,904988,1.00814E+13,$18.17 ,27.26,109
904901,MISC. IMPORTED CORDIALS & LIQUEURS,Ypioca Cachaca Ouro(gold),391,Anchor Distilling (preiss Imports),1000,12,1,,78,9/21/2010 0:00,,,$0.00 ,23,0
